id,proper,ra,dec,mag,con,dist,spect
42676,,8.720091,12.680876,5.62,Cnc,284.0909,A3V+...
42680,,8.72041,3.398662,4.3,Hya,179.8561,B3V...
42687,Asellus Borealis,8.721431,21.468501,4.66,Cnc,55.5556,A1IV
42709,,8.726539,-33.186385,3.68,Pyx,269.5418,B1.5III
42715,,8.727854,-49.822802,5.15,Vel,568.1818,B0IIIn
42716,,8.727882,-7.23373,4.63,Hya,235.8491,G2Ib
42765,,8.739987,-42.649276,4.05,Vel,70.1754,G5III
42792,Asellus Australis,8.74475,18.154309,3.94,Cnc,40.032,K0III
42794,Alsephina,8.745059,-54.708821,1.93,Vel,24.6975,A1V
42798,,8.745844,10.08167,5.63,Cnc,129.7017,A1p...
42804,,8.747758,-37.147249,5.74,Pyx,485.4369,B2III
42893,,8.765339,-79.504373,5.79,Cha,152.9052,K5III
42904,,8.767124,-46.041527,3.87,Vel,568.1818,A1III
42907,,8.767354,-2.048655,5.7,Hya,92.5926,K0III:
42948,,8.772927,-13.54772,4.32,Hya,75.1315,G8III
42963,,8.775152,-45.912504,5.43,Vel,100000.0,B3Ia
42984,,8.778284,28.759898,4.03,Cnc,101.5228,G8Iab:
42986,,8.778487,-56.769776,4.5,Car,185.5288,B3Vne
42990,Ashlesha,8.779587,6.418809,3.38,Hya,39.6354,G0III-IV
43002,,8.782227,12.109952,5.89,Cnc,53.9665,A1V
43023,,8.787496,-1.897033,5.28,Hya,123.1527,A3V
43029,,8.788568,-46.155415,5.71,Vel,100000.0,F0Ib
43113,,8.807214,5.837812,4.35,Hya,108.5776,A0Vn
43184,,8.822702,-3.443023,5.3,Hya,138.1215,B9MNp...
43204,,8.827545,-40.320158,5.47,Vel,387.5969,A2/A3IV
43224,,8.8299,-45.307875,4.94,Vel,340.1361,A2III
43229,,8.830972,-32.780525,5.19,Pyx,68.6342,G8III
43247,,8.833953,-29.462997,5.86,Pyx,230.4147,G8III
43269,,8.839172,-42.089791,6.0,Vel,769.2308,O9V
43286,,8.842204,-27.709844,4.02,Pyx,63.5728,K3III
43290,,8.842628,-46.529187,5.09,Vel,100000.0,B0III
43291,,8.842982,-66.792981,5.34,Vol,51.9211,F5IV
43373,,8.859559,-7.177226,5.55,Hya,136.7989,A4m
43376,,8.860145,-57.633577,5.59,Car,226.2443,B8III
43408,,8.865787,43.726603,5.15,Lyn,81.2348,K0III
43427,,8.869453,42.002735,5.98,Lyn,161.5509,K0III
43430,,8.869936,45.312819,5.96,Lyn,164.7446,K0III
43461,,8.876284,32.474157,5.67,Cnc,64.4745,A8Vms
43464,Copernicus,8.876625,28.330819,5.96,Cnc,12.3411,G8V
43466,,8.877391,-48.359097,5.92,Vel,318.4713,B3Vn
43480,,8.880005,-38.724086,5.79,Vel,214.1328,K5/M0III
43521,,8.889601,61.962268,5.72,UMa,88.8099,F2III
43546,,8.896851,-60.353909,5.78,Car,440.5286,B5III
43548,,8.897388,-47.520778,5.31,Vel,77.2798,Am
43597,,8.904091,30.579115,5.4,Cnc,141.4427,G7III
43659,,8.917457,-60.644609,3.84,Car,98.0392,B8III
43673,,8.919936,-54.965768,5.7,Vel,24.1546,F6V
43674,,8.920119,-18.241189,5.75,Hya,136.7989,K2/K3III
43689,,8.92323,5.945563,3.11,Hya,51.2558,G8III-IV
43700,,8.925434,-27.681871,4.87,Pyx,75.815,A3IV
43709,,8.927689,27.927481,5.23,Cnc,149.2537,G8II-III
43726,,8.932097,11.626023,5.44,Cnc,213.2196,K5III
43754,,8.938686,-52.723475,4.68,Vel,108.3424,B5V
43769,,8.941814,40.201474,5.9,Lyn,72.2022,F3III
43774,,8.942813,-16.708748,5.95,Hya,221.7295,K3III
43778,,8.943741,64.603831,5.57,UMa,94.0734,G6III
43783,,8.944949,-85.663152,5.43,Oct,49.7512,F0III
43798,,8.947218,45.631646,5.72,Lyn,70.7214,K1IV
43807,,8.949056,32.91043,5.44,Cnc,59.5593,A7IV
43812,,8.949562,-59.229338,4.93,Car,206.6116,B2IV-V
43844,,8.954152,15.322762,5.22,Cnc,45.7247,A5III
43876,,8.959777,15.581281,5.68,Cnc,46.1255,F0IV
43898,,8.965434,-48.57291,5.88,Vel,317.4603,G8/K0II
43939,Acubens,8.974784,11.857701,4.26,Cnc,57.7367,A5m
43948,,8.978869,-16.132727,5.8,Hya,21.0349,F7/F8IV/V
43966,,8.981216,-47.234688,5.17,Vel,68.918,Am
44000,Talitha,8.986828,48.041826,3.12,UMa,14.5096,A7IV
44016,,8.990078,-59.083712,5.17,Car,26.4201,F3V
44027,,8.992405,32.418559,5.23,Cnc,90.6618,G9III
44064,,9.001505,-41.253605,4.45,Vel,64.5161,Fp
44120,,9.010685,41.782911,3.96,Lyn,16.0694,F5V
44128,,9.012707,-60.963828,5.8,Car,401.6064,G8II
44155,,9.019027,-68.683916,5.89,Vol,216.9197,M1III
44171,,9.022462,-41.864254,5.56,Vel,131.5789,B5V
44179,,9.023369,32.252296,5.89,Cnc,143.0615,A2V
44209,,9.029046,-52.188685,5.23,Vel,112.9944,Ap Si
44228,,9.032774,-0.482673,5.64,Hya,150.3759,K0III
44254,,9.040777,-66.396076,4.0,Vol,38.2995,Am
44262,,9.04242,67.629619,4.74,UMa,96.432,M3III
44277,,9.045629,24.452915,5.45,Cnc,120.3369,A0III
44278,,9.045783,7.298267,5.85,Cnc,194.1748,K3III:
44343,Alkaphrah,9.060427,47.156525,3.57,UMa,109.8901,A1Vn
44376,,9.066778,54.283887,5.74,UMa,119.6172,A2V
44383,,9.069248,-47.097737,3.75,Vel,91.8274,K2III
44471,,9.085785,-72.602705,4.47,Car,122.8501,F6II-III
44485,,9.090028,48.530314,5.48,UMa,97.0874,F6II-III
44498,,9.093994,-70.538497,4.66,Car,296.7359,B2IVe
44531,,9.099546,5.092316,4.99,Hya,274.7253,K2II-III
44572,,9.108825,38.452215,4.56,Lyn,250.6266,G8Ib-II
44670,,9.129115,10.668191,5.23,Cnc,162.8664,B8IIIMNp
44689,Suhail,9.133268,-43.432589,2.23,Vel,166.9449,K4Ib-II
44690,,9.133348,29.654235,5.42,Cnc,83.8926,G8III
44696,,9.134133,-25.858536,4.62,Pyx,171.8213,K4/K5III
44728,,9.139867,66.873235,5.15,UMa,159.7444,K5III
44755,,9.14505,-8.589524,5.6,Hya,188.3239,B9.5III
44764,,9.146483,26.629112,5.95,Cnc,31.0078,G5IV
